image_path,crop_health
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101187.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101198.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101229.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101355.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101391.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101394.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101406.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101420.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101425.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101428.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101467.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101469.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101473.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101485.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101516.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101530.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101544.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101553.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101593.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101638.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101647.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101649.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101652.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101658.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101659.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101676.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101702.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101718.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101731.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101761.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101767.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101768.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101780.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101798.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101800.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101805.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101809.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101812.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101818.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101849.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101857.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101886.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101888.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101918.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101930.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101933.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101938.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101973.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101979.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\101995.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102038.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102062.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102071.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102106.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102117.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102119.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102127.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102128.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102130.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102166.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102167.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102190.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102206.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102238.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102259.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102314.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102323.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102338.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102353.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102420.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102427.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102475.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102488.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102516.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102544.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102555.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102560.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102582.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102617.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102639.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102648.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102659.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102667.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102726.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102738.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102773.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102817.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102835.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102841.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102848.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102890.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102902.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102935.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102940.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\102981.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103032.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103033.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103048.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103051.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103056.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103070.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103097.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103107.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103127.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103169.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103174.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103177.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103187.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103205.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103230.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103276.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103313.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103319.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103323.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103344.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103355.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103357.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103380.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103389.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103392.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103435.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103447.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103458.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103487.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103500.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103552.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103606.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103615.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103629.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103637.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103679.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103686.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103702.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103734.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103839.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103920.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\103923.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104017.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104018.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104053.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104055.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104086.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104092.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104106.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104108.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104110.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104175.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104255.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104271.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104273.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104316.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104324.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104347.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104361.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104401.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104428.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104430.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104432.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104438.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104439.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104448.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104458.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104494.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104518.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104532.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104535.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104576.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104605.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104635.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104639.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104657.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104690.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104691.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104697.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104702.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104704.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104732.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104751.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104752.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104776.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104778.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104799.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104800.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104819.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104827.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104842.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104937.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104942.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104975.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\104997.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105008.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105014.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105031.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105046.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105059.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105122.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105125.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105151.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105180.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105209.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105236.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105239.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105250.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105255.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105272.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105273.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105291.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105306.jpg,bacterial_leaf_blight
D:\Download1\archive\paddy-disease-classification\train_images\bacterial_leaf_blight\105324.jpg,bacterial_leaf_blight
