image_path,original_label,crop_health,crop
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064049.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064059.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064102.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064106.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064110.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064116.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064118.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064123.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064127.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064131.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064133.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064138.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064143.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064147.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064155.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064159.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064203.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064206.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064212.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064214.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064217.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064221.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064223.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064228.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064236.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064240.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064242.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064244.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064246.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064249.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064252.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064255.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064258.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064303.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064311.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064314.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064316.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064322.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064325.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064331.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064334.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064336.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064339.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064343.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064346.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064351.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064353.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064358.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064401.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064405.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064411.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064415.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064428.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064435.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064439.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064443.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064451.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064456.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064507.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064511.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064514.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064517.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064528.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064533.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064540.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064543.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064547.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064554.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064559.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064610.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064614.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064617.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064622.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064626.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064634.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064638.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064646.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064653.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064702.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064705.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064712.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064714.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064721.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064728.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064743.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064745.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064749.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064803.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064805.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064813.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064816.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064820.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064827.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064829.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064843.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064852.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064901.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064915.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064919.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064926.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064928.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064932.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064935.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064940.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064943.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064948.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064955.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_064957.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065001.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065004.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065007.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065011.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065014.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065020.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065027.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065035.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065040.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065045.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065049.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065055.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065058.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065101.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065105.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065109.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065115.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065119.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065123.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065131.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065134.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065138.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065141.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065148.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065156.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065159.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065203.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065206.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065210.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065217.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065222.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065227.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065232.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065235.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065240.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065244.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065251.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065255.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065301.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065305.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065310.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065318.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065320.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065329.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065332.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065338.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065342.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065343.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065345.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065348.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065355.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065357.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065400.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065405.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065413.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065416.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065420.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065423.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065429.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065432.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065437.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065441.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065444.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065450.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065453.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065456.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065500.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065505.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065507.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065514.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065516.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065519.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065525.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065544.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065548.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065552.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065554.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065559.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065602.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200610_065605.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103052.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103105.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103657.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103705.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103717.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103720.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103726.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103735.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103736.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103739.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103744.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103746.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103750.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103751.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103753.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103755.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103756.jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103757(0).jpg,Healthy corn,Healthy,maize
D:\Download1\archive (1)\Corn Disease detection\Healthy corn\20200612_103757.jpg,Healthy corn,Healthy,maize
